phi,pZ1mean
° KW,bar
170,2.1771581173
171,2.1317517757
172,2.0818955898
173,2.0293726921
174,1.9776159525
175,1.9235281944
176,1.8695003986
177,1.8152897358
178,1.7613848448
179,1.7043505907
180,1.6490055323
181,1.5968490839
182,1.545309186
183,1.4924465418
184,1.4477771521
185,1.4025229216
186,1.3557363749
187,1.3189197779
188,1.2873206139
189,1.2514564991
190,1.2238435745
191,1.2050373554
192,1.178252697
193,1.1621162891
194,1.1564100981
195,1.1382471323
196,1.1329087019
197,1.1338908672
198,1.1285521984
199,1.1378176212
200,1.1407324076
201,1.1440765858
202,1.1536488533
203,1.1618405581
204,1.1691721678
205,1.1701540947
206,1.1833157539
207,1.1886535883
208,1.1874271631
209,1.1935014725
210,1.1960471869
211,1.1880401373
212,1.1912311316
213,1.1868741512
214,1.178191781
215,1.176289916
216,1.1634054184
217,1.1547842026
218,1.1470837593
219,1.1335227489
220,1.1237045527
221,1.1121082306
222,1.1000210047
223,1.0906637907
224,1.0798629522
225,1.069616437
226,1.0616098642
227,1.0560878515
228,1.0521918535
229,1.0507190228
230,1.0495529175
231,1.0513631105
232,1.0514550209
233,1.0562102795
234,1.0624070168
235,1.0652290583
236,1.0741266012
237,1.0809378624
238,1.0843430758
239,1.0945601463
240,1.0998678207
241,1.103579998
242,1.1095926762
243,1.1148074865
244,1.1158509254
245,1.1189795732
246,1.118612051
247,1.1176915169
248,1.1157590151
249,1.1119858027
250,1.1094398499
251,1.1020462513
252,1.0968308449
253,1.0920745134
254,1.0816725492
255,1.0781135559
256,1.0701687336
257,1.0618556738
258,1.059094429
259,1.0531426668
260,1.0515483618
261,1.0488778353
262,1.0461786985
263,1.0489702225
264,1.050350666
265,1.0562416315
266,1.0613342524
267,1.0668253899
268,1.0760287046
269,1.0821940899
270,1.0916755199
271,1.098395586
272,1.1059118509
273,1.1119552851
274,1.117875576
275,1.1227229834
276,1.1260666847
277,1.1278766394
278,1.1290729046
279,1.127017498
280,1.1251151562
281,1.1201759577
282,1.1145009995
283,1.1082737446
284,1.1024454832
285,1.0972604752
286,1.0928735733
287,1.0867054462
288,1.0844963789
289,1.0814281702
290,1.0815205574
291,1.0825638771
292,1.0841590166
293,1.0869202614
294,1.0912773609
295,1.097137332
296,1.1037946939
297,1.109500289
298,1.115789175
299,1.1203603745
300,1.1253925562
301,1.130086422
302,1.1321725845
303,1.1358538866
304,1.1355164051
305,1.1369893551
306,1.1368056536
307,1.1345652342
308,1.1321109533
309,1.1282454729
310,1.1244410276
311,1.1209434271
312,1.1162807941
313,1.1143475771
314,1.1104820967
315,1.1086421013
316,1.1063104868
317,1.1063408852
318,1.1072918177
319,1.1080590487
320,1.1106666327
321,1.1129672527
322,1.115237236
323,1.1168016195
324,1.119378686
325,1.121342063
326,1.1206362247
327,1.1192253828
328,1.1167402267
329,1.1147159338
330,1.1127833128
331,1.1104522943
332,1.108427763
333,1.1077523232
334,1.1082736254
335,1.1118630171
336,1.1159123182
337,1.1220169067
338,1.1288585663
339,1.1340136528
340,1.1413471699
341,1.1491702795
342,1.1556431055
343,1.1645697355
344,1.1723624468
345,1.1779154539
346,1.1848807335
347,1.1924901009
348,1.2017850876
349,1.2128289938
350,1.2254083157
351,1.237005949
352,1.2493391037
353,1.2624993324
354,1.27615273
355,1.2919533253
356,1.3074154854
357,1.3219565153
358,1.3315911293
359,1.333861351
