phi,pZ1mean
° KW,bar
155,6.9230132103
156,6.8610444069
157,6.7982740402
158,6.728905201
159,6.6548442841
160,6.5764918327
161,6.4918451309
162,6.4029974937
163,6.3089299202
164,6.2077784538
165,6.102792263
166,5.9898023605
167,5.8686451912
168,5.7409882545
169,5.6066102982
170,5.4666466713
171,5.3204898834
172,5.1662311554
173,5.0086011887
174,4.8436021805
175,4.6755986214
176,4.5024118423
177,4.3294715881
178,4.1522350311
179,3.9718668461
180,3.7932195663
181,3.6115334034
182,3.4374289513
183,3.2673354149
184,3.1027386189
185,2.9394626617
186,2.7923531532
187,2.6498749256
188,2.5132884979
189,2.3941290379
190,2.2848174572
191,2.1863043308
192,2.1035921574
193,2.0438277721
194,1.9915804863
195,1.9601635933
196,1.9346687794
197,1.9224903584
198,1.9195141792
199,1.9201892614
200,1.9305276871
201,1.9375834465
202,1.95292449
203,1.9620964527
204,1.967373848
205,1.976577282
206,1.976916194
207,1.9768846035
208,1.9699200392
209,1.951880455
210,1.9383205175
211,1.9130101204
212,1.8864102364
213,1.8606388569
214,1.8321989775
215,1.8032047749
216,1.7759612799
217,1.7490861416
218,1.7221801281
219,1.6996307373
220,1.6808849573
221,1.6601758003
222,1.6502969265
223,1.641092658
224,1.6357855797
225,1.6334234476
226,1.6347123384
227,1.6346200705
228,1.6395895481
229,1.6437017918
230,1.6472287178
231,1.6572307348
232,1.6597464085
233,1.6652070284
234,1.670147419
235,1.6705151796
236,1.6685203314
237,1.6682449579
238,1.6583038568
239,1.6544692516
240,1.6457262039
241,1.6310608387
242,1.6246494055
243,1.6082968712
244,1.5933248997
245,1.5793046951
246,1.5624924898
247,1.5463235378
248,1.5336834192
249,1.5189268589
250,1.5084034204
251,1.4988005161
252,1.4888912439
253,1.4849333763
254,1.4809448719
255,1.480484128
256,1.4813446999
257,1.4860066175
258,1.4890136719
259,1.4985556602
260,1.504108429
261,1.5141716003
262,1.522731185
263,1.5284379721
264,1.5349100828
265,1.5352172852
266,1.539083004
267,1.5366288424
268,1.5365060568
269,1.5313218832
270,1.525277853
271,1.5172086954
272,1.5065014362
273,1.494137764
274,1.4806076288
275,1.4691947699
276,1.4556649923
277,1.4464306831
278,1.43673563
279,1.4291270971
280,1.4232982397
281,1.4205986261
282,1.416947484
283,1.4202002287
284,1.4240652323
285,1.4314286709
286,1.4405711889
287,1.4493148327
288,1.4583969116
289,1.4672307968
290,1.4772018194
291,1.4815891981
292,1.4841353893
293,1.4840745926
294,1.4819879532
295,1.4766498804
296,1.4692254066
297,1.4613714218
298,1.4468295574
299,1.4356007576
300,1.4211816788
301,1.4103204012
302,1.3962085247
303,1.3889987469
304,1.3852243423
305,1.3846110106
306,1.3878020048
307,1.3908082247
308,1.3970052004
309,1.4012999535
310,1.406976223
311,1.4117016792
312,1.4164565802
313,1.4209674597
314,1.423912406
315,1.4228694439
316,1.4164874554
317,1.4072521925
318,1.3955329657
319,1.383046627
320,1.3702528477
321,1.3609260321
322,1.3523968458
323,1.347211957
324,1.3433160782
325,1.3423652649
326,1.3415060043
327,1.3429174423
328,1.3431624174
329,1.3424879313
330,1.3436840773
331,1.344758153
332,1.3466295004
333,1.3472425938
334,1.3467521667
335,1.3430393934
336,1.3410147429
337,1.3483171463
338,1.360773325
339,1.3795186281
340,1.4012401104
341,1.4255383015
342,1.4553582668
343,1.4910087585
344,1.5371814966
345,1.5650382042
346,1.5862381458
347,1.6259067059
348,1.6757309437
349,1.7132819891
350,1.7699791193
351,1.7902588844
352,1.8239766359
353,1.8461266756
354,1.9104950428
355,1.982468605
356,2.0317397118
357,2.0662238598
358,2.0990819931
359,2.1348235607
